PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
-0.1320286,0.8729174,-0.4753492,-0.3745216,-0.745229,-0.108175,0.5409856
-0.1303764,0.8722241,-0.4789745,-0.3859603,-0.733426,-0.1031474,0.5499833
-0.1283957,0.8712167,-0.4826139,-0.3985928,-0.7217841,-0.09752663,0.5573509
-0.1263795,0.869679,-0.486609,-0.4166848,-0.7086461,-0.08850656,0.5624599
-0.125206,0.867865,-0.4910784,-0.4299841,-0.7021295,-0.07474691,0.5626195
-0.124259,0.8659644,-0.4959805,-0.4465407,-0.6927407,-0.05364934,0.5637672
-0.1230749,0.8636494,-0.5008739,-0.4673006,-0.68463,-0.03595477,0.5582287
-0.1211677,0.8616994,-0.5051206,-0.4912692,-0.677161,-0.03794807,0.5465049
-0.1204378,0.85916,-0.5063744,-0.4528029,-0.7350435,-0.05163633,0.5020102
-0.1205988,0.857519,-0.5065598,-0.3912882,-0.8000602,-0.04975252,0.4520199
-0.121244,0.8575276,-0.5069583,-0.3492074,-0.840476,-0.04102378,0.4122757
-0.1218185,0.8576584,-0.5081396,-0.3236621,-0.8604645,-0.02983009,0.3923695
-0.1223773,0.8572977,-0.5092415,-0.3274833,-0.8504236,-0.01967647,0.4112752
-0.1230621,0.857058,-0.5091963,-0.3212851,-0.834996,-0.01448197,0.4464839
-0.1240742,0.8565606,-0.5088187,-0.3022132,-0.8283122,-0.01140941,0.4716311
-0.1248025,0.8565104,-0.5083396,-0.2964987,-0.8139045,-0.01556177,0.4994056
-0.1239975,0.8570845,-0.5094746,-0.3088602,-0.8073391,-0.02489559,0.5021845
-0.1228793,0.8576036,-0.5097575,-0.3283339,-0.8018941,-0.03560777,0.4978904
-0.1225992,0.8578003,-0.5097957,-0.3364968,-0.8003996,-0.04065744,0.4944465
-0.1227463,0.8574544,-0.5096848,-0.3430587,-0.7955813,-0.04577914,0.4972579
-0.123205,0.8567564,-0.5098169,-0.3541626,-0.7855078,-0.05316633,0.5046977
-0.1234649,0.8562039,-0.510164,-0.3612387,-0.7791603,-0.06114733,0.5086029
-0.1234013,0.8554876,-0.5107769,-0.3733852,-0.7706046,-0.06752437,0.5120475
-0.1235389,0.8548002,-0.5116832,-0.3840956,-0.7627617,-0.06558663,0.5161043
-0.1242707,0.8544163,-0.5124441,-0.3808347,-0.7635288,-0.05746796,0.5183495
-0.125138,0.8541009,-0.5127092,-0.3704994,-0.7638591,-0.05538971,0.5255297
-0.1263062,0.8536241,-0.5129566,-0.3633609,-0.7563262,-0.04728556,0.5419443
-0.1281408,0.8524205,-0.5148621,-0.3700638,-0.7299386,-0.01834679,0.5743743
-0.1297459,0.8512701,-0.5161315,-0.3682581,-0.71193,0.005030199,0.5979267
-0.1328159,0.8493701,-0.5185005,-0.3418242,-0.7184972,0.0367022,0.6046247
-0.1361729,0.8472356,-0.5200891,-0.306628,-0.7299706,0.05888727,0.6079922
-0.1392012,0.8451365,-0.5220156,-0.2925161,-0.727141,0.07573961,0.616412
-0.1415055,0.8429179,-0.52525,-0.3039967,-0.7188038,0.08777331,0.6190339
-0.1434691,0.8410252,-0.5287101,-0.3125342,-0.7166826,0.1039553,0.6147209
-0.145588,0.8394238,-0.5329821,-0.320619,-0.7180128,0.1255872,0.6048875
-0.1478044,0.8379841,-0.5383372,-0.3277538,-0.7203167,0.1488415,0.5929313
-0.1499152,0.8366094,-0.5434955,-0.3342599,-0.718825,0.1697933,0.5854325
-0.1517242,0.83565,-0.548328,-0.3399766,-0.7155383,0.185841,0.5812779
-0.153212,0.8351057,-0.5528691,-0.3455096,-0.7108204,0.1974043,0.5799906
-0.1544666,0.8349961,-0.5573328,-0.3502494,-0.7067686,0.2031186,0.5801262
-0.1555946,0.8351455,-0.5618297,-0.3531509,-0.7065141,0.2043335,0.5782474
-0.1564074,0.8360906,-0.5664983,-0.3497525,-0.71385,0.1967561,0.5739151
-0.1573396,0.8371812,-0.5713843,-0.3447731,-0.7218762,0.1903328,0.5690341
-0.1578299,0.8389663,-0.5768508,-0.3425883,-0.7313752,0.1788428,0.5619065
-0.1580372,0.8407259,-0.5822971,-0.343294,-0.7391669,0.1684107,0.5544542
-0.158026,0.8427095,-0.5877002,-0.344797,-0.7464188,0.1562128,0.5473313
-0.1578891,0.8449216,-0.5928326,-0.3455182,-0.7536814,0.1410753,0.5409985
-0.1576473,0.8476436,-0.5973361,-0.3404115,-0.7630733,0.1204015,0.5360436
-0.1577978,0.8502495,-0.6014702,-0.3312428,-0.772553,0.1009059,0.53222
-0.1580715,0.8532944,-0.6048527,-0.3169384,-0.7829059,0.0764073,0.5298776
-0.1586801,0.8563745,-0.6077446,-0.2947311,-0.7955671,0.04993867,0.5269846
-0.1598953,0.8596569,-0.6092456,-0.257543,-0.8112837,0.01619542,0.5246218
-0.1613829,0.8625516,-0.609873,-0.2210816,-0.8205327,-0.0219235,0.5266577
-0.1630519,0.8647943,-0.6105369,-0.1996572,-0.8217086,-0.0520036,0.531251
-0.1649465,0.8662985,-0.6117014,-0.1802949,-0.8231043,-0.07336678,0.5334889
-0.1664529,0.86771,-0.6135052,-0.1609389,-0.8268015,-0.09370071,0.5307712
-0.1673916,0.8688676,-0.6158341,-0.1489777,-0.8304446,-0.1121777,0.5249605
-0.167925,0.8696449,-0.618417,-0.1442439,-0.8326208,-0.129853,0.5187239
-0.1682232,0.8702472,-0.6209149,-0.1407647,-0.834381,-0.1461589,0.5124756
-0.1683938,0.8707771,-0.6225243,-0.1313917,-0.8361913,-0.1615878,0.5073557
-0.1684733,0.8711837,-0.6238049,-0.1201838,-0.8373557,-0.1768923,0.5030909
-0.1680886,0.8711779,-0.6251225,-0.1171199,-0.8357664,-0.1872656,0.5027017
-0.1678879,0.8709106,-0.627122,-0.119736,-0.8329317,-0.1935258,0.5044165
-0.1680285,0.8705178,-0.6292529,-0.1222692,-0.8314524,-0.1944309,0.5058991
-0.1684971,0.8699729,-0.6315491,-0.1252005,-0.8307298,-0.1899533,0.5080655
-0.1689817,0.8693734,-0.6337627,-0.1293834,-0.8296645,-0.182691,0.5114107
-0.1692487,0.8689137,-0.6358419,-0.1341059,-0.8279017,-0.1762117,0.5153094
-0.169226,0.8685786,-0.6378499,-0.1428291,-0.8251923,-0.1680579,0.5200135
-0.1692082,0.8683846,-0.6397026,-0.1496832,-0.8229684,-0.1632396,0.5231356
-0.1692403,0.868309,-0.6411515,-0.1535764,-0.8227049,-0.1603821,0.5233055
-0.1692477,0.8683367,-0.6425295,-0.1566773,-0.8228056,-0.1586884,0.5227439
-0.169052,0.8685319,-0.6436519,-0.159216,-0.8238202,-0.158783,0.5203446
-0.1687513,0.8686947,-0.6444927,-0.1613214,-0.8244237,-0.1613214,0.5179542
-0.168766,0.8686634,-0.6449706,-0.1633663,-0.8216698,-0.1617596,0.5215401
-0.1693099,0.8684347,-0.6450545,-0.1628529,-0.8151233,-0.161615,0.5319149
-0.1700644,0.8679062,-0.645014,-0.1608379,-0.8093117,-0.1590293,0.5420843
-0.1704513,0.8672099,-0.6452957,-0.1621578,-0.8045894,-0.1547343,0.5499073
-0.1704261,0.8666364,-0.645398,-0.1613552,-0.8011583,-0.1548786,0.5550879
-0.1704552,0.866335,-0.6456141,-0.162014,-0.798877,-0.1540432,0.5584064
-0.1704681,0.8659977,-0.645801,-0.1659047,-0.7973779,-0.1547628,0.5592071
-0.1706708,0.8655671,-0.6455181,-0.1680648,-0.7953069,-0.1587208,0.5604006
-0.17114,0.8649645,-0.6448569,-0.1667667,-0.7936165,-0.1624224,0.5621216
-0.1716593,0.8643369,-0.6443477,-0.1648614,-0.7914134,-0.1644705,0.5651858
-0.1723163,0.8635502,-0.6440543,-0.1635579,-0.7897807,-0.1642074,0.5679184
-0.1728655,0.8626814,-0.6439701,-0.1647906,-0.7880308,-0.1624572,0.5704903
-0.1734487,0.8618012,-0.6438818,-0.1650938,-0.7869667,-0.160891,0.5723125
-0.1739787,0.8608947,-0.6437682,-0.1651382,-0.7861221,-0.1604079,0.5735946
-0.1743124,0.8599961,-0.6435934,-0.1658688,-0.7852398,-0.1624214,0.5740255
-0.1746552,0.8590637,-0.6434925,-0.1653499,-0.7853277,-0.1637257,0.5736844
-0.1743852,0.8592746,-0.6437613,-0.1651426,-0.7874148,-0.1625748,0.5712051
-0.1747047,0.8582716,-0.643831,-0.1666648,-0.7889428,-0.1623435,0.5687149
-0.1739374,0.858921,-0.643548,-0.1710949,-0.7916065,-0.1658456,0.5626552
-0.1727835,0.8601536,-0.6429275,-0.1754575,-0.7902417,-0.1716294,0.5614945
-0.1714554,0.8610634,-0.6421033,-0.180107,-0.7852539,-0.1784411,0.5648864
-0.1707703,0.8613579,-0.6414856,-0.1826404,-0.7803029,-0.1815027,0.5699356
-0.1706823,0.8611857,-0.6412141,-0.1846431,-0.7782113,-0.1805288,0.5724539
-0.1712696,0.8605562,-0.6412358,-0.1835154,-0.7804644,-0.176696,0.5709431
-0.1717324,0.8603704,-0.6415939,-0.1798827,-0.7832106,-0.1750779,0.5688331
-0.1718002,0.8597707,-0.6407183,-0.1775368,-0.7851554,-0.178348,0.5658654
-0.1713096,0.8599095,-0.6399856,-0.1755767,-0.7865946,-0.1851823,0.5622715
-0.1705312,0.8603059,-0.6391669,-0.175679,-0.786913,-0.1921757,0.5594403
-0.1698671,0.8606425,-0.6384835,-0.1766287,-0.786096,-0.1967742,0.5586908
-0.1695318,0.860787,-0.6381662,-0.1774688,-0.785113,-0.197791,0.5594472
-0.1694305,0.8607473,-0.6381876,-0.1794736,-0.7842916,-0.1960234,0.5605808
-0.1697712,0.8605414,-0.6386418,-0.180558,-0.7842786,-0.1920331,0.5616308
-0.1699525,0.8604084,-0.6387429,-0.1803931,-0.7850297,-0.1907683,0.5610652
-0.1700856,0.8602844,-0.6387526,-0.1803429,-0.7861735,-0.189835,0.5597949
-0.1701031,0.8602678,-0.6388426,-0.1803239,-0.7871246,-0.189538,0.5585638
-0.1699711,0.860312,-0.6390909,-0.1813614,-0.7875836,-0.1893586,0.557641
-0.1697695,0.8603337,-0.6394777,-0.183363,-0.7878246,-0.1886308,0.556892
-0.1696147,0.8603138,-0.6399249,-0.1858145,-0.787934,-0.1869574,0.556489
-0.1696274,0.8602225,-0.6400493,-0.1861835,-0.7881001,-0.1862522,0.5563668
-0.1697005,0.8601158,-0.6400191,-0.1862426,-0.7878752,-0.1860645,0.5567283
-0.1697349,0.8601017,-0.6399621,-0.186125,-0.7877567,-0.186124,0.5569153
-0.1697686,0.8601123,-0.6398861,-0.1857142,-0.7877223,-0.1863924,0.5570114
