PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
0.1897292,1.028097,0.3526677,0.0706107,-0.08552331,-0.9224898,-0.3697466
0.2036866,1.031155,0.349218,0.004913615,-0.08857349,-0.9231227,-0.3741324
0.2169648,1.033863,0.3452667,-0.05572752,-0.0908756,-0.9244166,-0.3661831
0.2295822,1.037289,0.3392883,-0.09257913,-0.09199063,-0.9329967,-0.3353864
0.2397104,1.041993,0.3341209,-0.1092937,-0.08703902,-0.9453512,-0.2946016
0.2461768,1.052171,0.330292,-0.1119584,-0.1072573,-0.9489191,-0.2747977
0.2520299,1.062956,0.3279413,-0.1227373,-0.1417125,-0.9432831,-0.2739894
0.2558569,1.073611,0.3258535,-0.1202445,-0.1694622,-0.9406738,-0.2682474
0.2587346,1.082683,0.3232986,-0.1103168,-0.1834417,-0.9424782,-0.2567374
0.2606302,1.091151,0.3206013,-0.09821521,-0.1977762,-0.9411612,-0.2558399
0.2638387,1.098983,0.3175687,-0.09751811,-0.2122445,-0.9387209,-0.2534671
0.2655962,1.106548,0.3141128,-0.08977693,-0.2265651,-0.9361638,-0.2533883
0.2683391,1.114202,0.3112723,-0.08386781,-0.2433622,-0.9335299,-0.2495256
0.2709883,1.121637,0.3080114,-0.07992236,-0.2635949,-0.9278202,-0.2515548
0.2734824,1.128134,0.304338,-0.0739127,-0.2761463,-0.9251059,-0.2499185
0.2752374,1.133877,0.3003179,-0.06512694,-0.2864035,-0.9220261,-0.2521892
0.276934,1.139921,0.2966015,-0.05436741,-0.298218,-0.9184337,-0.2541454
0.278041,1.145563,0.2938808,-0.03181848,-0.3086573,-0.9152759,-0.2568818
0.2792376,1.15253,0.2911398,-0.01009778,-0.3256589,-0.9088244,-0.2605429
0.2803175,1.160317,0.2877221,0.009722239,-0.3485326,-0.89939,-0.2636822
0.2822108,1.167845,0.2830014,0.02440072,-0.3724321,-0.8889926,-0.2653131
0.2844204,1.173592,0.2778416,0.04002361,-0.3878458,-0.8830208,-0.2612432
0.2866332,1.178836,0.27291,0.05839792,-0.4023206,-0.8761971,-0.2588563
0.2879923,1.184019,0.267789,0.0849627,-0.4207819,-0.8653086,-0.2587758
0.2883609,1.190727,0.2622024,0.112923,-0.4449317,-0.8478362,-0.2654393
0.2885136,1.198353,0.255078,0.1426191,-0.4788361,-0.820549,-0.2776241
0.2894753,1.204774,0.2474485,0.1698044,-0.508311,-0.7954285,-0.282984
0.2914435,1.20897,0.2393888,0.1929097,-0.5339728,-0.7715839,-0.2869098
0.2938025,1.211186,0.2313209,0.2095918,-0.5543271,-0.7473395,-0.3004604
